YEAR,gear_class,LANDINGS
2003,Beam trawl,3.672
2003,Dredge,8.94526
2003,other,7190.157277
2003,Otter trawl/seine,73703.334961
2003,Pelagic trawl/seine,198027.916852
2003,Pots,7221.860888
2003,Static/Gill net/LL,25404.763267
2004,other,7006.342794
2004,Otter trawl/seine,99921.872531
2004,Pelagic trawl/seine,366481.23241
2004,Pots,13699.093046
2004,Static/Gill net/LL,41727.580585
2005,Beam trawl,0.675
2005,Dredge,2484
2005,other,2746.922924
2005,Otter trawl/seine,102778.99273
2005,Pelagic trawl/seine,446128.6146
2005,Pots,17458.799334
2005,Static/Gill net/LL,43333.865838
2006,Beam trawl,3.36
2006,Dredge,2418.4
2006,other,3107.234206
2006,Otter trawl/seine,98772.781912
2006,Pelagic trawl/seine,414674.671548
2006,Pots,17362.662793
2006,Static/Gill net/LL,44005.589972
2007,Beam trawl,2
2007,Dredge,1298
2007,other,1378.963133
2007,Otter trawl/seine,85005.582553
2007,Pelagic trawl/seine,462980.439681
2007,Pots,17418.855122
2007,Static/Gill net/LL,40588.201165
2008,Beam trawl,68.793
2008,Dredge,1041.169361
2008,other,1142.172754
2008,Otter trawl/seine,84875.184863
2008,Pelagic trawl/seine,444821.194255
2008,Pots,21376.48939
2008,Static/Gill net/LL,39282.883115
2009,Beam trawl,15.344
2009,Dredge,644.02
2009,other,892.186579
2009,Otter trawl/seine,91557.444232
2009,Pelagic trawl/seine,458843.513954
2009,Pots,22797.277607
2009,Static/Gill net/LL,36250.325879
2010,Beam trawl,3.831
2010,other,785.540455
2010,Otter trawl/seine,81042.414875
2010,Pelagic trawl/seine,404029.30358
2010,Pots,19879.94477
2010,Static/Gill net/LL,32590.028661
2011,Beam trawl,6.638
2011,Dredge,0.011
2011,other,2538.629576
2011,Otter trawl/seine,81030.038108
2011,Pelagic trawl/seine,331315.194325
2011,Pots,18779.526617
2011,Static/Gill net/LL,26252.131177
2012,Beam trawl,2.77
2012,Dredge,10918.454
2012,other,1642.085135
2012,Otter trawl/seine,79580.261752
2012,Pelagic trawl/seine,301724.661945
2012,Pots,19450.020631
2012,Static/Gill net/LL,31439.025683
2013,Dredge,13249.811
2013,other,17650.391463
2013,Otter trawl/seine,69346.572773
2013,Pelagic trawl/seine,483725.414939
2013,Pots,22118.383658
2013,Static/Gill net/LL,27938.083847
2014,other,2546.191629
2014,Otter trawl/seine,64141.085105
2014,Pelagic trawl/seine,436404.914877
2014,Pots,29115.232216
2014,Static/Gill net/LL,26730.640749
2015,Dredge,21398.363336
2015,other,1021.4505
2015,Otter trawl/seine,69388.688214
2015,Pelagic trawl/seine,506233.939678
2015,Pots,27462.988594
2015,Static/Gill net/LL,26224.907687
2016,Dredge,23850.796
2016,other,1293.533677
2016,Otter trawl/seine,57415.149024
2016,Pelagic trawl/seine,537068.445565
2016,Pots,26107.283195
2016,Static/Gill net/LL,25581.677562
