StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
bll.27.22-32,benthic,NA,NA,39,0,NA,NA,NA,NA,NA,NA,NA,GREY,19107
dab.27.22-32,benthic,NA,2363,1356,1007,NA,NA,2017,2017,NA,NA,NA,GREY,19107
fle.27.2223,benthic,NA,982,809,173,NA,NA,NA,NA,NA,NA,NA,GREY,19107
fle.27.2425,benthic,NA,19107,12788,6318,NA,NA,NA,NA,NA,NA,NA,GREY,19107
fle.27.2628,benthic,NA,4442,4252,191,NA,NA,NA,NA,NA,NA,NA,GREY,19107
fle.27.2729-32,benthic,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,GREY,19107
ple.27.21-23,benthic,1.0972972972973,NA,3459,1387,0.37,0.406,2019,2019,2.14540540540541,11907,5550,RED,19107
ple.27.24-32,benthic,NA,2355,1644,711,NA,0.541,2019,2019,NA,3.579,NA,GREY,19107
sol.27.20-24,benthic,1.00869565217391,NA,434,NA,0.23,0.232,2019,2019,1.07769230769231,2802,2600,RED,19107
tur.27.22-32,benthic,NA,322,264,57,NA,NA,NA,NA,NA,NA,NA,GREY,19107
